tauf,time,v,ci,cs,d,f,q
35,293.2,-95.61057929433406,0.68634935778489,0.7065593725948044,1.4559575063224823e-7,0.9285484072891954,0.5410824709791947
35,293.3,-95.61082443273135,0.6860156005966348,0.7062183392852359,3.7519050773093385e-7,0.9286849470361945,0.5412207175487745
35,293.40000000000003,-95.61106887178617,0.6856821221620695,0.7058775945074047,0.0,0.9288952634421469,0.5411913251260282
35,293.5,-95.61131394715778,0.6853489221996879,0.7055371306157231,3.9297826910754074e-8,0.9290642189419441,0.5414966916825794
35,293.6,-95.61155868214473,0.685016000423576,0.7051969516790466,0.0,0.9292814065160235,0.5419075754707213
35,293.7,-95.61180325023395,0.6846833565514466,0.7048570565178749,2.399421906908911e-7,0.9295349561374228,0.5419506721772505
35,293.8,-95.61204665070599,0.6843509903016456,0.704517450622747,4.383148477382089e-7,0.9296900604669472,0.5418737088445968
35,293.90000000000003,-95.61228957068172,0.6840189013983398,0.7041781314783857,9.224614318951262e-7,0.9299300778292297,0.5423587790102574
35,294.0,-95.61253128411758,0.6836870895645115,0.7038391036184096,8.978073713016861e-8,0.9301861577392345,0.5422038790063023
35,294.1,-95.61277472889225,0.683355554522894,0.7035003505787796,0.0,0.930283223681341,0.5420382780688062
35,294.2,-95.61301813861571,0.683024295985489,0.7031618792444341,1.1959507659640023e-7,0.9305586740793862,0.5419316282091015
35,294.3,-95.6132610570237,0.6826933136711784,0.7028236917419058,2.598942752348318e-7,0.9308380839228786,0.5423039815871122
35,294.40000000000003,-95.61350365005579,0.6823626073012637,0.7024857873316527,0.0,0.9310724477298999,0.5426468000348921
35,294.5,-95.61374632524333,0.6820321765951891,0.7021481631508281,0.0,0.9313069081862412,0.5429104179726408
35,294.6,-95.6139887531294,0.6817020212722456,0.7018108204666225,1.1261630275223325e-9,0.9314907767452285,0.5431226683969433
35,294.7,-95.61423093330424,0.6813721410528867,0.7014737590095284,0.0,0.9316023050192397,0.5431943356610401
35,294.8,-95.6144728695808,0.6810425356578835,0.7011369784848843,1.7242508210337345e-8,0.93187512903232,0.5434073815357152
