tauf,beat,apd,camax
52,136,222.63158136026323,2.115480184721073
52,137,255.80749259828008,3.2249566982798665
52,138,224.01376740161504,2.1513729891740616
52,139,256.18173920345,3.212254206955552
52,140,222.11250422629382,2.1114526860345886
52,141,256.3541785684356,3.2277741329382885
52,142,222.681308149884,2.1282928145218127
52,143,256.2040371005569,3.237313315404123
52,144,223.9832547529586,2.1345036982510037
52,145,254.61356418541254,3.140278780511278
52,146,225.62750491106272,2.171454773080084
52,147,252.36498750311148,3.07149841171958
52,148,227.11335545228212,2.226874955774852
52,149,253.37175424856832,3.104305889069794
52,150,227.16785795724718,2.2145100012060714
52,151,253.2054855599563,3.070839006953627
52,152,228.2402817082475,2.250844707253463
52,153,250.89657016695855,3.0141093108041375
52,154,230.6690593598687,2.315550237252164
52,155,250.6407177908477,2.98139512986967
52,156,230.64255515112018,2.298732133836765
52,157,250.88904130805895,2.975050567831628
52,158,230.35121536759107,2.3025706742563883
52,159,251.7039060107636,3.009771614500724
52,160,228.94722551001178,2.281170909749855
52,161,251.99631836019398,3.0511396036828864
52,162,228.87113238837628,2.2716730476357982
52,163,252.87899761973677,3.089771224688998
52,164,227.8328134761614,2.2619260025141514
52,165,252.63309160529752,3.0883590675011456
52,166,229.69822570586985,2.2992159021531875
52,167,250.8527793830799,2.998422352846084
52,168,231.7316853298762,2.353129319899429
52,169,250.3133866201024,2.9897709626212667
52,170,230.74876967030286,2.314793837271405
52,171,251.5711899800517,3.033757245305227
52,172,229.04339902573702,2.295179337774352
52,173,251.82260662926274,3.068934424667553
52,174,228.8150982547304,2.2813166242361516
52,175,251.661125438397,3.036767592435923
52,176,231.36353918008535,2.3522989632052558
52,177,251.22177070280304,3.0374692634539873
52,178,230.9101430230803,2.3274525956095538
52,179,251.4706417598136,3.0125181963663454
52,180,229.13765473049716,2.3002308324589036
52,181,252.01029376379302,3.0632125267861334
52,182,227.7948290667846,2.2580249125349625
52,183,253.97829425711825,3.148861908933256
52,184,226.56133734658215,2.24055214493376
52,185,253.83285390539095,3.164756399864131
52,186,226.22186532544583,2.232086711836645
52,187,253.63700975958636,3.1655729262711145
52,188,228.23215151030308,2.2813183010003164
52,189,253.40154548130522,3.1635301174378045
