u,beat,camax
9.5,141,1.2266245323503318
9.5,142,3.1755800276239325
9.5,143,1.2350099388814968
9.5,144,3.1589555567656196
9.5,145,1.22197300165941
9.5,146,3.1773966315876057
9.5,147,1.2198470641682584
9.5,148,3.1869629074845376
9.5,149,1.231522117886225
9.5,150,3.148997724929089
9.5,151,1.2247130474545262
9.5,152,3.1880298521164554
9.5,153,1.2227772376158008
9.5,154,3.2313755746132804
9.5,155,1.2294165470052185
9.5,156,3.1226184353440005
9.5,157,1.2259396479625804
9.5,158,3.1228148587471267
9.5,159,1.2295861469562364
9.5,160,3.119121945597863
9.5,161,1.229688732803735
9.5,162,3.1491227129268524
9.5,163,1.2343150431913243
9.5,164,3.1609357163808047
9.5,165,1.2294784996246941
9.5,166,3.22728401071724
9.5,167,1.2230997360498548
9.5,168,3.2193978177944294
9.5,169,1.2352735734225755
9.5,170,3.087866677714153
9.5,171,1.232349327986023
9.5,172,3.1064261359881082
9.5,173,1.2277563010490284
9.5,174,3.1489097046680916
9.5,175,1.2208037951635704
9.5,176,3.2458324925034896
9.5,177,1.2384182857109733
9.5,178,3.142138484451202
9.5,179,1.2258626731793318
9.5,180,3.1062773226175615
9.5,181,1.2236177514162718
9.5,182,3.1023685591265897
9.5,183,1.233016194227516
9.5,184,3.141918598787113
9.5,185,1.2297757874237192
9.5,186,3.1579347117121066
9.5,187,1.2290212333798647
9.5,188,3.233941397648453
9.5,189,1.2420553733589768
9.5,190,3.1474978023491955
9.5,191,1.233182901583668
9.5,192,3.11264845693487
9.5,193,1.2231779366435755
9.5,194,3.1712681701361864
9.5,195,1.2277010434123272
9.5,196,3.139836103500271
9.5,197,1.2324906287975324
9.5,198,3.082010220398238
9.5,199,1.2314269354538883
9.5,200,3.1337243065239315
10.5,1,1.2081311906117058
10.5,2,3.103048091317022
10.5,3,1.2019050728889444
10.5,4,3.1849988588893106
10.5,5,1.205419653680164
10.5,6,3.1482313388161094
10.5,7,1.2051843248613132
10.5,8,3.174662974494812
10.5,9,1.2030300967865892
